a|to, towards, at
adroy|viceroy;
adsa; —o; —i|present; presence, by standers, audience; to attend, to witness
adsekrer|assistant secretary, deputy secretary
adstata|paranational
adul, —azo; —i; —er|adulation; to —late; —lator
adulta; —un, —in; —o|adult a, n, f; — age
adulteryo; —ya|adultery; —rous;
adverb; —a|adverb; —ial
adversa; —er; —i|adverse; —ary; to oppose
adverso; —ado|adversity; annoyance
aer; —a|air; air-, aerial
aerplan|airplane, aeroplane
afar|affair; business
afaroner|fuss-pot
afasa; —sio|aphasic; —sia
afekto; —a; —i|affection; —ate; to like, to love
afina; —eso|similar, affined; affinity
afish; —i|placard; to —, to show ostenta tion
afligo; —i|affliction; to afflict
afluo; —ui|affluence; to flow, flow in
afona; —nio|aphonic; —onia
afranki; —o, —azo|to emancipate. —ation; to manumit, —mission; (o
afresko|fresco
Afrik; —a|Africa, —an
afril|scarecrow
afro; —i; —a; —ifa|fright; to —en; —ful; terrifying
afront; —i|slight; to —; affront, insult
afto|aphtha; —
agasi; —o|to irritate, —ation; to vex
agent; —ur|agent; agency
agi; —o|to act; —ion
agila; —eso|agile; —ility
aglo; —a|eagle
aglomeri; —o|to agglomerate; —ation
agno|lamb
agnostika; —stismo|agnostic; —icism
agonio|agony
Agost; —a; —e|August; of —; in —
agra; —i; —eso|sour; to —; —ness
agraf; —i|clasp, to —; buckle, to —
agravant|aggravating circumstance
agred; —i|aggression; to attack;
agregi; —o, —azo|to aggregate; —ation
agrikol-radun|agricultural meeting
agrikolto; —a|agriculture, —al
aguat|watch, ambush
ajit; —i|agitation; to agitate
ajo; —a; —i|age; — age; of —; to be... (years, months, etc.) old
ajudik; —i|auction, awarding; to award
ajur; —i|adjuration; to —ure
ak(aqo)|water
akabli; —o|to overburden, to harass; depression, prostration
akacyo|acacia
akademio; —dema; —deman|aca demy; —ic(al); —ician
akant|acanthus
akir; —i|acquisition; to acquire
aklam; —i|acclamation; to acclaim
aklimati, —tazo|to acclimatize; —zation
akno|acne
akolgo; —i|reception; to receive
akomodi|to accomodate, to adjust
akompani; —azo; —er|to accompany; —ying; —anist
akont; —a; —e|instalment, cover, margin; on account
akontre|on the contrary
akord; —a; —e; —i|agreement, consent; in agreement a,
akordeon|accordion
akra|acrid, bitter
akreditiv|letter of credit, credential
akrimon; —a|acrimony; —ious
akrobat; —a; —io|acrobat; —ic; —ism
aktado|action
akten|certificate, record
aktenaro; —ner|registry, —strar
aktiv; —a; —e|credit, assets; active, busy; actively
akto|act, action
aktor; —in|actor; actress
aktuala; —e|present; now, at  the present time
akuavit, aqavit|brandy
akumul; —i; —il|accumulation; to —ate; —ator
akuo (aqo)|water
akuon (aqon)|shower, downpour
akuoniv (aqoniv)|water level
akursi|to run up, to hasten up
akustik, —a|acoustics; —ic
akuta; —eso; —i|sharp; —ness; to —en
akuzi; —at; —o|to accuse; —ed; —ation
al|to the
ala|winged
alado; —i|flight; to take —, to take off
alarmo; —i; —il|alarm; to —; —bell, communication cord, alarm signal
alb-armo|cold steel
alba; —i; —eso|white; —en; —ness
albergo; —ist; —i|inn, hostel; inn keeper; to lodge, to house
album|album
albumen|albumen
albumin|albumin
aldo|master, principal, chieftain; head-waiter
aleb; —ea|hazard, —ous; risk; —y
alegi, —o|to allege, —gation
alegra; —eso|cheerful; —ness
alen|awl
alerga; —io|allergic, —gy
alersa|alert, spry
alert; —i|alarm; to —; alert, to —
alev; —in|pupil m, f
aleyo|alley, avenue
algebro; —a; —ist|algebra, —aic, —aist
algo; —a|ache; —ing
alguo|seaweed, alga
alik; —minsel|poultry; sliced chicken
aliment; —a; —i|alimentation, food; alimentary; to food
alimentoco|cud
alist|winger
alkol; —a; —ismo|alcohol; —ic; —ism
alkov|alcove
almel|sweetbread
almeni|to bring, to convey
almo; —a, —at; —i|soul; animate, —ed; to —
almon; —ist|alms; chaplain, padre, almoner
almondo|almond
alo|wing
alo'!|hallo!, hello!
alok; —i|allotment, to allot, allocation, to allocate, allowance, to allow
alokut; —i|address; to —; allocution, to make an —
alor|then
alpismo, —inismo; —ist|alpinism; —ist
alpostel|edelweiss
also; —i|gasp; to
alta; —e; —eso|high; —ly; height
altalok; —e|high rank, —ing; upper classes; in —
altamar; —e; —a|open sea, high sea
altar; —a; —ye|altar a,
altastim (-a, —e)|high esteem; with —
alterko; —i|altercation; to make —s
alterna; —i; —ativ|alternate; to —; alternative
altitud|altitude
altri; —azo|to alter; —ation
altruismo; —ist; —a|altruism; —ist; —istic
alud; —i|allusion; to allude
alumi; —il|to light; match
aluminyo|aluminium
aluv, —a|alluvion, —ial
alven|accession
alvid !|so long, good-bye, cheerio
alyenat; —aro|insane, mad; lunatic asylum
alyeni; —azo|to alienate, —ation
alzo|garlic
am-elixir|love-potion, philtre
amabla; —eso|amiable; —bility
amant|lover
amator|amateur
amba; —as|both
ambaser, —asin; —asado|ambassador, —dress; embassy
ambelte|on both sides
ambigua; —eso|ambiguous; —guity
ambis; —a|ambition; —ious
ambro|amber
ambulanso|ambulance
ambyenso; —yenta|atmosphere; ambient
amel|starch
amena; —eso|pleasant; amenity
Amerik; —a; —ye|America; —an; in, to-
ametist|amethist
ami|to love, to like
amik; —a; —eso|friend; —ly; —ship
amikados|greetings, regards
amiral|admiral
amnesio; —nesa|amnesia; —esic
amnisti; —io|to amnesty; —
amo|love
amonyak|ammonia
amor|of "to love"
amor, amo|love
amorala; —eso|amoral; —ity
amorfa|amorphous
amorti; —o|to amortize, —ation; to deaden, —ing
amper|ampere
ampla; —e; —eso|ample; —y; —itude
ampol|phial;
amput; —i|to amputate, —ation
amuzi; —o|to amuse; —ment
anakoret|anchorite
analga|analgesic
analis; —a; —i|analysis; —ytic; to analyse
analogio; —loga|analogy; —gic(al), —guos
analos|annals
ananaso|pineapple
anarkio; —ka; —kist|anarchy; —ic; —ist
anatem; —i|anathema; to —atize
anatomio; —toma|anatomy; —ical
ancel; —in|servant
ancuv|anchovy
anekdot; —a|anecdote, —ic
anel|ring, bow, coil
anelel|ring-finger
anemio; —ika|anaemia; —mic
anemon|anemone
anemon|anemone
anestesio; —esa; —ist|anaesthesia; —etic; —etist
anex; —a; —i|annex; —ed; to —
anfor|amphora
anfrakta; —o, —eso|anfractuous, —osity
angin; —a|angina, quinsy, tonsillitis
Anglo, —a; —al|England; English, —man; English
angor|angina, angina pectoris
angosh; —i|anguish; to —
anguil|eel
aniel, anjo|angel
animal; —a|animal
anire|almost
anis; —isel|anise;
ankilosi; —oso|to anchylose; —osis
ankro|anchor
anod|anode
anonima|anonym n; —ous
anorak|anorak
anormala; —eso|abnormal; —ity
ansa; —i; —o|anxious; to be —; anxiety
ansyana|elder, ancient, former
anta|fore-, before
antalga|antalgic
antalga|antalgic
antamast (antemast)|foremast
ante|before
antekam|antechamber, anteroom
anten|antenna, aerial
antetraxa|with front wheel drive
antialkola; —lismo|antialcoholic; —
antibiotik; —a|antibiotic
anticiklon; —a|anticyclone; —ic
antidot|antidote
antiebla|anti-dazzle
antiera|anti-aircraft
antifebra|antifebrile
antifloga|antiphlogistic
antigel|anti-freeze
antigripa|antiflu
antika; —ayo, —eso|antique; —ity
antiker|antiquary
antiklerka; —ismo|anticlerical; —ism
antikonstitua; —ue|anticonstitutional; —lly
antikorp|antibody
antikrist|antichrist
antilop|antelop
antipata; —tio|antipathetic; —pathy
antipod; —a|antipode; —al
antirivoivo; —a|antirevolution; —ary
antisepsa; —psio|antiseptic; —epsis
antitezo; —a|antithesis; —etic(al)
antol|apron
antolet|small apron, pinafore
antologio|anthology
antonim, —a, —io|antonym, —ous, —ymy; converse n,
antracit|anthracite
antrax|anthrax, carbuncle
antro|den, antrum
antropofagio, —gist|anthrophagy; —gist
antropolog; —io|anthropologist; —logy
anuar|year-book
anuli; —at; —azo|to cancel; —elled; —ation; to nullify; —ied; annulment
Anuncado|Annunciation
anunco; —i|announcement; to announce
anuve|again
anyel|date, year
anyid|anniversary
anyo; —ya; —ye|year; —ly
aort|aorta
ap-lin|bee-line
aparel|apparatus, instrument
aparta|separate, apart
aparte|aside
apartel|flat, apartment
apartoci|to lay aside
apatika; —tio|apathetic; apathy
apatrida|stateless
apel; —i|appeal; to —
Apelkort|Court of Appeal
apendico; —it|appendix; —dicitis
apene|hardly, barely
aperitiv|appetizer
apetit|appetite
aplikema; —emo|to care, to give full attention; accuracy, attention, assiduity
apliki; —o, —azo|to apply; application
apo; —kolto|bee; apiculture
apofis|apophysis
apogo; —i|support; to —
apokrifa|apocryphal
apologio; —logi|apologia; to praise, to eulogize, to extol
aponi|to put on
apostol; —a|apostle; —stolic
apostrof|apostrophe
apoteoso|apotheosis
apra, —t; —brase, —kore|open; —armed; — heartedly
apradi; —o|to hatch; —ing; to blossom, —ing
apral; —i|to bloom; —ing
apreli; —a|to half-open; half-open
apreni; —o|to learn; —ing
aprenter, —ist|apprentice
aprento; —i|apprenticeship; to serve one's —
apresti; —o|to dress, —ing
apri; —o|to open; —ing
aprikot; —yer|apricot; — tree
April; —a; —e|April; of, in —
aprilun|April fool
aprovi; —o|to approve; —oval
apse|against, close to
apsel|close to the
apta; —o|apt, fit, suited; aptitude, fitness
apuntado; —i|appointment, rendez vous
apuyo|beehive
apyo|celery
aqafort|etching, aqafortis
aqarel; —ist|aquarelle; —ist
aqaryo; —yum|aquarium
aqo; —a; —ema|water; water-
aqoduk|aqueduct
Arab; —a, —al; —io|Arab; —ian; —ian
arakno; —el|spider; —'s web
aran|j
arbalet|arbalest
arbitrado, —trazo|arbitration; —
arbitremo, —a|arbitrary, —iness
arbitro; —er; —i|judgement, free —, free will; arbiter, judge; to arbitrate
arbo|tree
arcidux|archiduke
arcimilyoner|multimillionaire
arcipel|archipelago
arcirika|very rich;
arcivesko; —a|archbishop; archiepis-copal
arda; —o; —i|burning, ardent, passion ate; ardour; to be ardent, burning
ardezyo|slate
ardua; —ueso|arduous; —ness
arel|cranberry, huckleberry
aren|arena
arengo; —i|harangue; to —, to address
arest; —i|arrest; to —
arga; —i; —o|angry; to be  anger
argent; —i; —a|silver; —
argil|clay
argot; —a|argot, slang
argument; —i; —azo|argument; to argue; argumentation
arguta; —eso|quibbling
arida; —eso|arid; —ity
arimi; —er; —azo|to stow; —er; —age
aringel|herring fillet
aritmetio; —meta|arithmetic; —al
aritmio; —a|arrhythmia; —ic
ariv; —i|arrival; to arrive
ark(o)|arc; arch
arkad|arcade
arkeolog; —io|archaeologist; —logy
arker|archer
arkitekt; —ur|architect; —ure
arkiv; —ist|archives; —vist
arko; —tir|bow; archery
arlo|area
armal; —i; —er|shipping, manning; to man, to fit out; ship-owner
armeo; —ea|army; of the —
armistis|armistice
armo; —i; —azo|arm, weapon; to arm; armament, arming
armonio; —ona|harmony; —ious
armopermo|weapon-carrying permit
arnel; —i|harness; to —
arom; —a; —i|aroma; —tic; to —tize
arozi; —o; —il|to sprinkle; —ing; —ing can
arpejo|arpeggio
arsenik; —a|arsenic, —al
arso|arch
art; —a|art; —istic
arter; —a|artery; —ial
arterskleroso|arteriosclerosis
artezya|artesian
articok|artichoke
artific; —a; —ado|artifice; —icial; fireworks
Artik|Arctic Ocean;
artiklo|article
artilyer; —io|artilleryman, artillery
artisan|craftsman, artisan;
artist; —in|artist
artrit, —a|arthritis, —itic
artro; —a|articulation; —cular
arvo; —i|deposit (payment); to pay a —
aryo|aria
as|as
asalto; —i|assault, attack; to —, to assail
asasen; —i; —azo|murderer; to assas sinate, to murder; murder, assassination
asaso|ace, first-rater
asay|rather, enough, a little
asben|as well
asbest|asbestos
asdus|as far as
asegni; —o|to assign; —ment
asembli; —eo|to assemble; —bly
asepsa; —io|aseptic; asepsis
aserti; —o|to assert; —ion
asfalt; —a; —i|asphalt
asfixi; —at; —io|to asphyxiate; —ed; —ixia, ixiation
asfodel|asphodel
ashendi; —o|to ascend; —ension
ashet; —a; —ismo|ascetic
asidua; —ueso|assiduous; —ness
asilke|immediately; — after
asimetra|asymmetrical
asimili; —azo|to assimilate, —ation
asirvi; —azo|to subjugate; —jection, enslavement
asisti; —o|to assist, to help; assistance, help
Asizos|Assize Court; Assizes
askal; —i|petition; to —
asker|appliant
asko; —i|question; to ask
askofermo|request stop; stop on request
askoltadi; —o|auscultate, —ation
askolti; —er; —il; —o|to listen; —er; receiver, ear-piece; listening
aslong|so long as;
asmo; —a|asthma, —tic
asno; —ado|ass; nonsense, stupidity, tomfoolery
aso|ace
asomi; —il; —aro|to fell, to stun; bludgeon,
asorti; —(o)|to assort; —ment
aspargo|asparagus
aspekto; —i|aspect, look; to look
aspergi; —il|to spray; Holy Water sprinkler
aspi; —o|to look; look, aspect
aspik|aspic
aspir; —i|aspiration; to aspire
aspoke|even a little
aspra, —eso|harsh, —ness
assun|as soon as
ast(o); —i|hurry, haste; to —
astak; —lik|lobster; — cullis, — bisk
aston; —i|astonishment; to astonish
astona, —at|astonished
astrel|aster
astringifa|astringend
astringo; —i|constraint; to constrain
astro; —a|star; astral
astronom; —io|astronomer; —nomy
astuta; —eso|astute; —ness
asun|so long, bye-bye
at|had
ataci; —o; —emo|to attach; link, bond, tie; attachment
ataco; —il|bond, link, tie; fastening
atak; —i|attack; to —
atangi|to reach
atea; —eismo|atheist; —ic; —eism
Aten, —a|Athens; —enian
atendaro|waiting-room
atende|waiting, awaiting
atendi; —e; —o|to wait; awaiting
atendoni|to dance attendance, to hang about (around)
atenso; —i|attention; to pay —
atento; —i|blow, attack, injure; to —
atenuant|extenuating circumstances
atenui; —uo|to soften, to alleviate, to extenuate; attenuation, extenuation
ateri; —azo|to alight, —ing, to land, —ing
atesti; —(o)|to attest, —ation, to certify, —ficate
atingi|to draw; to borrow
atir; —i|attraction; to attract, to draw
atitud|attitude
atlant|atlas
atlas|atlas
atlet; —a; —ismo|athlete; —etic; —etics, —eticism
atmosfer; —a|atmosphere; —ic
atom; —a|atom; —ic
atra; —oca; —atro; —ceso|atrocious; atrocity
atrapi|to catch
atrezi; —o|to rig; rigging
atribi; —o|to attribute; —ution; to ascribe; ascription; to assign, —ment
atrofa; —i; —io|atrophied; to atrophy: atrophy
au|either; —... — either... or
aubo; —a; —e|dawn, daybreak; of — a; at —
audax; —a|audacity; —dacious
augur|omen, presage; wish
august a|august
auno|alder
aurel|buttercup
aureol|aureola, halo
auriger|goldsmith
auro; —a; —i|gold; —en; to —en
auror|daybreak; aurora
Austral|Austral Hemisphere
Australyo; —ya|Australia, —ian
Austro; —a|Austria, —ian
auta, —e|in, by motor-car,
autarca|self-sufficient
autarkio; —rka|autarchy, —ic(al)
autenta; —o, —eso|authentic; —icity
auto; —e; —a; —i|motorcar, auto, automobile; by —; of —; to go by —
autocar|coach, motor-coach
autogra|fo autograph
autokadro|(motor-car's) dashboard
autokritik|self-criticism
autolerna|self-educated;
autom; —a; —azo|automaton, robot; automatic; —ation
autonoma; —mio|autonomous; —nomy
autoportret|self-portrait
autopsio; —opsi|autopsy; to make an —
autor; —rek|author; —'s right
autorital; —i|authority; to have —
autorizi; —o|to authorize; —ization
autorut|motorway, parkway
autostop; —i|hitch-hiking; to hitch- hike, to hitch a ride
autosugest; —i|autosuggestion; to —
autosu|j
auxil; —a|help; auxiliary
aval|endorsement; to endorse; guaran- tee; to —
avalyo; —ya; —ye|downstream direction; downstream
avansa; —e; —i|advanced; in advance; to-
avantago; —i|advantage; to favour, to benefit
avaryo; —yat; —yi|damage; —ed; to —
avel; —in|grandfather; grandmother; ancestor
aven; — a; —e|future;
aventur; —i; —ist|adventure; to venture; adventurer
avenuo|avenue
averso; —i|aversion, dislike; to detest
averti; —o|to warn; —ing
avi|to have
avida; —e; —eso|greedy; avid; —ily, —ly; avidity
avizo; —i|notice, advice: to notice
avo|possession, property
avokat|lawyer, counsel, barrister
avon|oat, oats
ax; —i; —at|axis, axle; to centre: centered
axed; —i; —ibla|access; to have —, to accede; —ssible
axel|armpit
axeleril|accelerator
axent; —i|accent; stress; to stress, to accentuate
axept(o); —i|acceptance; to accept
axesor; —a|accessory n,
axident; —a; —e|accident; —al; —ally
axon|axle. — tree
axyon; —ist|share (
ayani|to pant; to toil
azardo; —a; —e|hazard; —ous; by chance, perchance
azil; —ye|asylum; to, at (the, a) —
azima|unleavened
azot; —a|nitrogen, azote; nitric, azotic
azotacid|nitric acid
azur; —a|azure
Azyo; —ya|Asia; —ian, —iatic
babladi|to splutter, to stammer
babli; —er|to babble; —er
babloner|chatterer, chatterbox
babord(o)|port
bacil; —a|bacillus; —illary
bad; —i|bath; to bathe, to take a bath
badkam|bathroom
baduyo|bath, — tub
bag; —eyo|bag; luggage, baggage
bagaro|cloakroom, baggage room
bagatel|trifle, bagatelle
bak; —a; —e; —i|back
bakal|baccalaureat
bakalun|bachelor
bakon|bacon
bakter; —ologio|bacterium; —riology
balad|ballad
balanso; —i|balance; to —
balanson|see-saw, swing, teeter-totter
balast|ballast
balba; —i; —o|stammerer, —mering n, a; to stammer; —ing
balco|parcel, packet, package
balda; —o|plucky; pluck
baldaken|baldachin
balen|whale
balenolyo|blubber, whale-fat
balet|ballet
baliverno|balderdash
balkon|balcony
balon|balloon
balotado|second ballot
balso, balsam; —i|balm; to be fragrant; to embalm
balustro; —strado|baluster; —strade
balyo|ball
bam|round of applause
bambuo|bamboo
bana, —t; —bani|wet
banala; —eso|banal; —ity
banan; —yer|banana; — tree
band|band
bandit; —ado, —ismo|bandit; —itry
bangos|announcement
banjo|banjo
bank; —ye|bank; at, to the —
bankis|ice-pack, ice-floe
banknot|banknote   [rupt
bankrot; —i|bankruptcy; to go bank-
banona|drenched, wet, soaked
banqet; —i|banquet; to —
bansi; —o; —orompo|to banish; —ment; breaking of bounds
banyan|banian
bapti; —o|to christen, to baptize; christening, baptis
bar|bar
barak; —eyo|hut; hutting
barbara; —eso|barbarous; —arity
barbekuo|barbecue
barbel; —a|barbed wire; barbed
barbo, barbid|beetroot
barbosukro|beet-sugar
bardo|bard, minstrel
barel|keg, cask, barrel
barem|scale, schedule; ready reckoner
barfel|barmaid
bargo; —i|bar; to —
bargo; —i|barrage, bar; to bar
barikad; —i|barricade; to —
barko; —e|barge, small boat; by —
barkon|lighter
barlo; —i|stretcher, barrow
barman|barman
barmo; —i; —a|pity; to take —; —iful, charitable
barometro; —a|barometer; —metric
baron; —in|baron; —ess
bart|beard; —
barter|barber
baryer|barrier
basa; —e; —o; —i|low, vile; vilely; bottom; to lower
basen|basin;
bash|canvas cover
basilik|basilica
basilko|basilisk
basket|basket-ball
bason|bassoon
basrilyev|low-relief, bas-relief
bastarda|bastard
bastol; —e|baton; with a rod, with a baton
baston; —i; —ado|pole, rod; to cudgel; —ing
bastonyer|barristers' corporation president
bastyon|bastion
bat|drunk (
batakrem|whipped cream
batal; —kamp|battle, —field
batalnav|battleship
batalyon|battalion
bategi|to batter
batel; —e; —i|boat; by —; to —
baterio|battery
bati|to beat
batil|stick, bat
batiskaf|batyscaphe
batok|black eye
batracan|batrachian
bav; —i|dribble, slobber; to dribble, to slaver
bavarda; —i|chatty, chatterer; to chat, to chatter
bavil|bib
bax|tub, bucket
bayo, bayal|bay, anchorage
bazar; —di|bazaar; to seel off, to get rid of, to throw away
bazo; —i|base; to —, to ground
beata|happy, blessed
beb, —o, —el|baby
bebsider; —sidin|baby-sitter
beco; —i|spade; to dig, to — up
bed; —ye; —el|bed; abed, in bed,
bedala; —i|staying in bed
bedbazo|bedstead
bedelyo|beadle, bedel
bef; —i|raillery, mockery; to mock, to laugh at, to taunt, to scoff at
befro|belfry
begon[yo]|begonia
bek; — adi|beak; to pick up; to peck at
bekvazo|laboratory beaker
bel, —a; —eso|beautiful; beauty
belaspa|goodlooking, handsome
belbela (—i)|more and more beautiful; (to become —)
Belgo; —a|Belgium; —gian
beli|to beautify
belidyes|once in a while, some day
belsona|melodious, musical, harmonious
belt(o); —i|belt; to-
belved; —i|fine weather; to be fine (weather)
belvo; —aro|wild beast; menagerie
belyer|battering-ram
ben; —e|well
benado|beneficence
benamat; —amin|beloved
benda|j
bendal|bandoleer
bendel|headband, bandage, bandeau
bendo; —i|band
bened; —i|blessing, benediction; to bless
beneficaryo|beneficiary
benefico; —i|benefit; to —, profit, to —
benela, —eso|harmless, benignity
benevol; —a|goodwill; voluntary, willingly
benfado; —er|charity; benefactor
benifa|benefic
benigna, —eso|benign, —ignity
benko|bench
benkuni|to match, to suit, to agree, to bee on good terms
bensape|well knowing, to one's certain knowledge
benven; —i|welcome; to —
benvi|to be so kind as to...
benzi; —o|to bless; —ing
benzin|benzine, petrol, gasoline
ber-rumyo|bay-rum
beret|beret
bergel|hill
bergo|mount, mountain
beril|beryl
bersal|target
bersi; —o; —uyo|to rock; —ing; cradle
beryo|berry
besbol|base-ball
best; —a|beast; bestial
besteyo|cattle
bet; —i; —ist|bet; to —; better, backer
beter|better
betist|bookmaker
beton|concrete
bev(o); —i|drink, —ing
bevalgo|hang-over
bevaqo|drinking-water
bevaret|refreshment-bar
bevaro|refreshment bar
bevayo|drink
bevoca|drunk, shot, tipsy
bevoni; —er|to drink immoderately; drinker, bibber, tippler
bevri|to water (a beast)
bewindo|bay-window
bezego; —i|a clean sweep; to make —
bezil; —zi; —azo; —zer|broom; to sweep; —ing
bezilet|besom
bezon; —i|want; to —; need; to —
bi|to drink
bianya|biennial
bibliofil|bilbiophile
bibliograf; —io|bibliographer; —graphy
bibliotek; —er, —in|library; —ian m, f
biblo; —a|Bible; biblical
bibron; —i|feeding bottle; to bottle-feed
biceps|biceps
biciklo|bicycle
bid; —i|bid, bidding; to bid
bideo|bidet
biderka|double-way, double-direction
bidon; —urbo|can, tin; shanty-town
bidvendo|auction
biekado|bicentenary
bienko; —in|great-grandson; great-granddaughter
biforki; —o|to bifurcate; —ation; to branch off; branching
bifstek|beefsteak
biga|beige
biga|beige
bigama, —io|bigamous, bigamy
biglo|beagle
bigota; —ismo|sanctimonious; bigotry
bigranmatro|great-grandmother
bigranpatro|great-grandfather
bigudel; —i|hair-curler; to hair-curl
bija|greyish brown
bikarbonato|bicarbonate
bikolora|two-coloured
bil; —i|bile, gall; to bother
bilanso|balance, — sheet
bilcist|gall-bladder
bildi; —o; —ing|to build; —ing
biloza; —o|atrabilious; —ness
biltel|ball-point pen
biltel|ballpoint (pen)
bilto|bullet; ball; bead
bilyardo|billiards
bilyo; —yel|ball, playing-marble; ball-point (pencil)
bimbo|little child
bimes; —a|two months; bimonthly
biograf; —a; —io|biographer; —phic; —phy
biokemio; —kema|biochemistry; biochemical
biolog; —a; —io|biologist; —gical; —gy
biopsio; —psi|biopsy; to make a —
bipreid|two days before
bipuntela|bicuspid
bir|beer;
birko|birch-tree
biro|beer
bis|bis, twice
bisanye|twice a year; —
biside|twice a day; —
biskot|rusk
bismese; —a|twice a month; happening
bisqit|biscuit
bisveke, —a|twice a week; happening
bitrel|bitter
bitum|bitumen
bivak; —i|bivouac; to —
bivek; —a; —e|fortnight; —ly a; —ly
bizara; —ado, —eso|bizarre, odd; oddly; oddness
bizo, —a|occupation, business, job; busy
bizo: —a|occupation, job; busy
bizot, —i|bevelling
blado; —i|ground sown with corn; to sow with corn
blago; —i|hoax; to —
blak, —bul; —i|blackballing; to black-ball
blakmel; —i|blackmail; to —;
blam; —i|blame; to —
blasfem; —i|blasphemy; to —pheme
blason|coat of arms, blazon, heraldry
blazi; —o|to state, to pall; to become indifferent; to grow weary; weariness
blef; —a|eyelid; —'s
blema; —i|livid; to grow —
blerko|badger
blindo; —i|armour; to —, to —plate
blok|block
blonda|blond, fair
blu, blua|blue
bluel|cornflower
bluf; —i|bluff; to —
bluzo; —n|shirt-waist; blouson-chemisier
bobin|reel; bobbin; —
bocel|skittle
bod|floor (of a room)
boema; —o|Bohemian; — life, bohemianism
Boemyo, —ya|Bohemia, —ian
bofilyo; —ilin|son-in-law; daughter
bofrat|brother
bojo|bogie
bok|mouth; beer-glass
bokal|bottle, glass jar
bol; —i|boiling
bolaqo|boiling water
bolbov|boiled beef
bolid|bolide
bolil|kettle
bolkel|finger bowl
bolko|bowl
bolon; —i|button; to —
bolov|boiled egg
boluyo|kettle; hot-water bottle
bomatro|mother-in-law
bombior|bomber (aircraft)
bombo|bomb; —
bon, —a|good
bonaktado|good action
bonal; —a|benevolence, kindness; benevolent, kind
bonaspo|good look;
bonaugura|auspicious, of good omen
boncanso; —a; —e|good luck; lucky fortunately
bonco|cap; hood
bond|jump, bound;
bonesta, —e|best a,
bonfama|renowned, well-known
bonfid; —a; —e|good faith
bonid|good morning
bonifazo; —ifi|improvement; to improve, to better
bonifik; —i|rebate, discount; to make good
bonira, —e; —i|better
bonkor; —a|good nature; —ed; good heart; —ed
bonmalvole|willy-nilly, whether one likes it or not
bonnox|good night
bonser|good evening
bonumor, —a|good humour, —ed
bonvol; —a; —e|goodwill; —ing; —ingly, gladly
boom; —a|bohemian life; bohemian
bopatro|father-in-law
bor; —i|butter; to — (
boraxa|boric
boraxaqo|boric water
bord|board;
Boreal|aurora borealis
borgo|borough
borgomastro|burgomaster
borlo; —i|fluff, stuffing; to stuff, —up
borno; —i|signpost; milestone; limit; to limit, to set bounds
borsel|bag, handbag
borso|purse; pouch
boryo|boron
bos|boss, master, principal
boskel|coppice, thicket
